,COMPL_RPY_1YR_RT,COMPL_RPY_3YR_RT,COMPL_RPY_5YR_RT,COMPL_RPY_7YR_RT,C100_4,C100_L4,DEBT_MDN_SUPP,GRAD_DEBT_MDN,DEBT_N,GRAD_DEBT_N,LATITUDE,LONGITUDE,REGION,LOCALE,SCH_DEG,MAIN,NUMBRANCH,HIGHDEG,CONTROL,ST_FIPS,AVGFACSAL,PFTFAC,ICLEVEL,UG,UG_NRA,UG_UNKN,UG_WHITENH,UG_BLACKNH,UG_API,UG_AIANOLD,UG_HISPOLD,MEDIAN_HH_INC,UNEMP_RATE,UGDS_MEN,UGDS_WOMEN,cost,earning
0,0.3366762178,0.429326288,0.5113182423,0.5638709677,0.0643,,13246,32750,3085,795,34.783367999999996,-86.568502,5,12.0,3.0,1,1,4,1,1,7028.0,0.7354,1,4380.0,0.0388,0.0014,0.0459,0.9055,0.003,0.0027,0.0027,49720.22,4.84000015258789,0.4283,0.5717,22667.0,25200
1,0.5745573159,0.6182700794,0.6733300829,0.7405929304,0.3018,,14979.5,21833,6302,2952,33.505697,-86.799345,5,12.0,3.0,1,1,4,1,1,10517.0,0.8918,1,10331.0,0.0331,0.0266,0.6124,0.2861,0.0286,0.0031,0.0101,55735.22,3.45000004768371,0.40700000000000003,0.593,22684.0,35100
2,0.3333333333,0.4390243902,0.5507246377,0.679245283,0.1429,,10430,22890,398,33,32.362609,-86.17401,5,12.0,3.0,1,1,4,2,1,3857.0,1.0,1,98.0,0.0,0.0,0.6837,0.2347,0.0204,0.0,0.0612,53683.7,3.59999990463256,0.3891,0.6109,13380.0,30700
3,0.6408888889,0.680887372,0.742248062,0.816953317,0.1533,,13522,22647,2626,1219,34.724557,-86.640449,5,12.0,3.0,1,1,4,1,1,9463.0,0.6374,1,5220.0,0.040999999999999995,0.0487,0.6912,0.1435,0.0366,0.0205,0.0186,58688.62,3.64000010490417,0.583,0.41700000000000004,22059.0,36200
4,0.2446808511,0.3660377358,0.4423076923,0.4919678715,0.0725,,15738,31500,3486,1031,32.364317,-86.295677,5,12.0,3.0,1,1,4,1,1,7952.0,0.6368,1,4348.0,0.003,0.0313,0.0435,0.9172,0.0018,0.0005,0.0028,46065.2,4.80999994277954,0.3788,0.6212,19242.0,22600
5,0.6572383646,0.7118012422,0.7585524456,0.8045007032,0.4385,,17340,23290,10443,5918,33.211875,-87.545978,5,13.0,3.0,1,1,4,1,1,9802.0,0.7378,1,15318.0,0.0244,0.0,0.8053,0.145,0.0105,0.0061,0.0086,57928.41,3.25999999046325,0.4452,0.5548,28422.0,37400
6,0.2702702703,0.325,0.53125,0.5,,0.1411,5764,9500,851,172,32.92478,-85.945266,5,32.0,2.0,1,1,2,1,1,5960.0,0.4623,2,1577.0,0.0044,0.0013,0.773,0.20800000000000002,0.0038,0.0051,0.0044,43985.14,3.75999999046325,0.3934,0.6066,13868.0,23100
7,0.5269058296,0.6019845645,0.6093418259,0.7012658228,,,13461,18000,1786,881,34.806793,-86.964698,5,31.0,3.0,1,1,3,1,1,8367.0,0.4478,1,2662.0,0.0,0.0162,0.8392,0.1187,0.0056,0.0165,0.0038,50752.1,3.38000011444091,0.33899999999999997,0.6609999999999999,,33400
8,0.5849335303,0.634180791,0.701754386,0.7112561175,0.07200000000000001,,10750,23363,2522,764,32.36736,-86.177544,5,12.0,3.0,1,1,4,1,1,7251.0,0.9585,1,4098.0,0.0088,0.0068,0.6318,0.3189,0.0178,0.0046,0.0112,50723.81,3.78999996185302,0.3556,0.6444,19255.0,30100
9,0.7699652778,0.8109577583,0.8045977011,0.8432835821,0.4682,,17000,21500,5807,3802,32.599378,-85.488258,5,13.0,3.0,1,1,4,1,1,9945.0,0.8673,1,18326.0,0.0086,0.0014,0.8959999999999999,0.0694,0.0116,0.0047,0.0083,59005.4,3.14000010490417,0.5067,0.4933,29794.0,39500
10,0.7679558011,0.8177083333,PrivacySuppressed,PrivacySuppressed,0.6196,,19500,26045,455,252,33.513774,-86.85055200000001,5,12.0,3.0,1,1,3,2,1,7233.0,0.6226,1,1395.0,0.0022,0.0029,0.8437,0.1039,0.0358,0.0065,0.005,64789.39,2.83999991416931,0.4911,0.5089,48510.0,33400
11,0.3896103896,0.3780487805,0.45,0.5,,0.024,6500,10500,695,126,32.42391,-85.031485,5,41.0,2.0,1,1,2,1,1,6045.0,0.3419,2,1748.0,0.0,0.0212,0.5955,0.3387,0.0109,0.0034,0.0303,46908.55,3.59999990463256,0.3975,0.6025,6980.0,22300
12,PrivacySuppressed,0.4583333333,PrivacySuppressed,PrivacySuppressed,0.0056,,9500,35000,496,51,32.425647,-87.019145,5,32.0,3.0,1,1,3,2,1,5605.0,0.377,1,532.0,0.062,0.0,0.0432,0.8947,0.0,0.0,0.0,38220.7,5.25,0.5118,0.4882,27520.0,20000
13,0.3869922751,0.4526239067,0.5806324111,0.6094594595,0.1053,,10919,25000,19759,5761,32.342684000000006,-86.216488,5,12.0,3.0,0,16,4,3,1,4887.0,0.2125,1,207.0,0.0,0.0,0.256,0.7440000000000001,0.0,0.0,0.0,55764.27,3.6800000667572,0.2538,0.7462,26892.0,26900
